"education_center_id","education_center_type_id","name_eng","name_ar","lat","long","established_on","overall_performance_en","overall_performance_ar","inspection_year","curriculum_en","curriculum_ar","area_en","area_ar","student_count","bg_color_code","image_thumb_url","image_small_url","image_large_url","image_med_small_url","address","address_ar","pobox","telephone","fax","mobile","web_address","email","inspection_report_pdf_link_en","hep_quality_assurance_en","hep_quality_assurance_ar"
"109","1","AL ADAB PRIVATE SCHOOL","مدرسة الآداب الخاصة","25.27638100000000000000","55.36865300000000000000","1989-09-01T00:00:00","Good","جيد","2023-2024","  Iranian - International Baccalaureate","  إيراني - بكالوريا دولية","AL QUSAIS FIRST","القصيص الأولى",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/109T.jpg","https://www.khda.gov.ae/SchoolImage/109S.jpg","https://www.khda.gov.ae/SchoolImage/109L.jpg","https://www.khda.gov.ae/SchoolImage/109MS.jpg","B 792"," ب 792","23259","042633405","","","www.adabschool.org","principal@adabschool.org","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111142","",""
"12","1","Al Arqm Private School","مدرسة الارقم الخاصة","25.10851400000000000000","55.18920600000000000000","1990-01-09T00:00:00","Acceptable","مقبول","2023-2024","  Ministry of Education","  وزارة التربية والتعليم","AL BARSHA FIRST","البرشاء الأولى",null,"#c2c5cb","https://www.khda.gov.ae/SchoolImage/12T.jpg","https://www.khda.gov.ae/SchoolImage/12S.jpg","https://www.khda.gov.ae/SchoolImage/12L.jpg","https://www.khda.gov.ae/SchoolImage/12MS.jpg","B247","B247","25844","97143400888","","","www.alarqam.ae","alarqam@emirates.net.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114255","",""
"15","1","Al Basateen Private Nursery","روضة البساتين الخاصة","25.23110600000000000000","55.52253300000000000000","2003-05-11T00:00:00","Good","جيد","2023-2024","  Ministry of Education","  وزارة التربية والتعليم","AL KHWANEEJ FIRST","الخوانيج الأولى",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/15T.jpg","https://www.khda.gov.ae/SchoolImage/15S.jpg","https://www.khda.gov.ae/SchoolImage/15L.jpg","https://www.khda.gov.ae/SchoolImage/15MS.jpg","700-3267","700-3267","78595","97142892261","","","","Dwa-khawanij@hotmail.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110367","",""
"117","1","Al Basateen Private Nursery - Hatta Branch","روضة البساتين الخاصة - فرع حتا","24.79871900000000000000","56.12489700000000000000","2004-11-23T00:00:00","Good","جيد","2023-2024","  Ministry of Education","  وزارة التربية والتعليم","HATTA","حتا",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/117T.jpg","https://www.khda.gov.ae/SchoolImage/117S.jpg","https://www.khda.gov.ae/SchoolImage/117L.jpg","https://www.khda.gov.ae/SchoolImage/117MS.jpg","B147","B147","12326","97148523151","","","https://www.dwa-bsateen-hatta.ae/","albasateen95@hotmail.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109861","",""
"59","1","Al Diyafah High School L.L.C","مدرسة الضيافه الثانوية ش.ذ.م.م","25.29012800000000000000","55.37476400000000000000","1982-12-01T00:00:00","Good","جيد","2023-2024","  UK","  بريطاني","AL NAHDA SECOND","النهدة الثانية",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/59T.jpg","https://www.khda.gov.ae/SchoolImage/59S.jpg","https://www.khda.gov.ae/SchoolImage/59L.jpg","https://www.khda.gov.ae/SchoolImage/59MS.jpg","241-0132","241-0132","24023","97142671115","","","www.diyafah.com","principal@diyafahschool.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=109108","",""
"5","1","Al Eman Educational EST","مؤسسة الايمان التعليمية","25.23048100000000000000","55.38927200000000000000","1973-12-01T00:00:00","Acceptable","مقبول","2023-2024","  Ministry of Education","  وزارة التربية والتعليم","AL RASHIDIYA","الراشدية",null,"#c2c5cb","https://www.khda.gov.ae/SchoolImage/5T.jpg","https://www.khda.gov.ae/SchoolImage/5S.jpg","https://www.khda.gov.ae/SchoolImage/5L.jpg","https://www.khda.gov.ae/SchoolImage/5MS.jpg","216-2387","216-2387","10003","97142858589","","","","emanschooldubai@gmail.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110824","",""
"505784","1","Al Fanar School","مدرسة الفنار ش.ذ.م.م","25.13257980346680000000","55.36592864990230000000","","Not inspected yet","لم تخضع بعد لتقييم الرقابة","","  UK","  بريطاني","NADD AL SHIBA FOURTH","ند الشبا الرابعة",null,"","https://www.khda.gov.ae/SchoolImage/505784T.jpg","https://www.khda.gov.ae/SchoolImage/505784S.jpg","https://www.khda.gov.ae/SchoolImage/505784L.jpg","https://www.khda.gov.ae/SchoolImage/505784MS.jpg","Al Fanar School","","","","","",""," admissions@alfanarschool.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=","",""
"500819","1","Al Ghaf Private School L.L.C","مدرسة الغاف الخاصة ذ.م.م","25.02992057800290000000","55.11357116699220000000","2020-09-06T00:00:00","Acceptable","مقبول","2023-2024","  UK","  بريطاني","JABAL ALI FIRST","جبل علي الأولى",null,"#c2c5cb","https://www.khda.gov.ae/SchoolImage/500819T.jpg","https://www.khda.gov.ae/SchoolImage/500819S.jpg","https://www.khda.gov.ae/SchoolImage/500819L.jpg","https://www.khda.gov.ae/SchoolImage/500819MS.jpg","Al Muntazah Complex","","","97148522295","","","www.ghafschool.com","info@ghafschool.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114084","",""
"21","1","Al Ittihad Private School","مدرسة الاتحاد الخاصة","25.29988861083980000000","55.34435272216800000000","1975-12-01T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","AL MAMZAR","الممزر",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/21T.jpg","https://www.khda.gov.ae/SchoolImage/21S.jpg","https://www.khda.gov.ae/SchoolImage/21L.jpg","https://www.khda.gov.ae/SchoolImage/21MS.jpg","134-382","134-382","5126","042966314","","","www.ipsmamzar.com","Director@ipsmamzar.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113187","",""
"22","1","Al Ittihad Private School (Br)","مدرسة الاتحاد الخاصة (فرع)","25.18071365356450000000","55.24103164672850000000","1998-05-23T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","AL SAFA FIRST","الصفا الأولى",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/22T.jpg","https://www.khda.gov.ae/SchoolImage/22S.jpg","https://www.khda.gov.ae/SchoolImage/22L.jpg","https://www.khda.gov.ae/SchoolImage/22MS.jpg","4786","4786","37090","043945111","","","www.ipsjumeira.com","principal@ipsjumeira.com","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114543","",""
"23","1","Al Maaref American School L.L.C","مدرسة المعارف الأمريكية ش.ذ.م.م","25.28619194030760000000","55.36785888671880000000","1987-12-01T00:00:00","Acceptable","مقبول","2023-2024","  American","  أمريكي","AL QUSAIS FIRST","القصيص الأولى",null,"#c2c5cb","https://www.khda.gov.ae/SchoolImage/23T.jpg","https://www.khda.gov.ae/SchoolImage/23S.jpg","https://www.khda.gov.ae/SchoolImage/23L.jpg","https://www.khda.gov.ae/SchoolImage/23MS.jpg","232-321","232-321","87823","042988881","","","www.almaarefps.com","danielle.pinkerton@almaaref.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114276","",""
"20","1","Al Mawakeb School Al Barsha L.L.C","مدرسة المواكب البرشاء ذ.م.م","25.10450300000000000000","55.20170600000000000000","1998-09-01T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","AL BARSHA SECOND","البرشاء الثانية",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/20T.jpg","https://www.khda.gov.ae/SchoolImage/20S.jpg","https://www.khda.gov.ae/SchoolImage/20L.jpg","https://www.khda.gov.ae/SchoolImage/20MS.jpg","376-2343","376-2343","35001","97143478288","","","www.almawakeb.sch.ae","micheline.eid@almawakeb.sch.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110935","",""
"19","1","Al Mawakeb School Al Garhoud L.L.C","مدرسة المواكب القرهود ذ.م.م","25.23467500000000000000","55.35831400000000000000","1995-01-12T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","AL GARHOUD","القرهود",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/19T.jpg","https://www.khda.gov.ae/SchoolImage/19S.jpg","https://www.khda.gov.ae/SchoolImage/19L.jpg","https://www.khda.gov.ae/SchoolImage/19MS.jpg","214-198","214-198","10799","97142851415","","","www.almawakeb.sch.ae","omar.hatoum@amsi.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110802","",""
"151988","1","Al Mawakeb School Al Khawaneej L.L.C","مدرسة المواكب الخوانيج ش.ذ.م.م","25.23575973510740000000","55.43930816650390000000","2018-09-02T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","AL MIZHAR FIRST","المزهر الأولى",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/151988T.jpg","https://www.khda.gov.ae/SchoolImage/151988S.jpg","https://www.khda.gov.ae/SchoolImage/151988L.jpg","https://www.khda.gov.ae/SchoolImage/151988MS.jpg","Al Mawakeb School Al Khawaneej","","","97142514433","","","www.almawakeb.sch.ae","amk@almawakeb.sch.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111122","",""
"126","1","Al Nibras International Private School","مدرسة النبراس الدولية الخاصة","25.00001700000000000000","55.17175700000000000000","2005-12-17T00:00:00","Good","جيد","2023-2024","  American","  أمريكي","DUBAI INVESTMENT PARK FIRST","مجمع دبي للاستثمار الأول",null,"#24a5e5","https://www.khda.gov.ae/SchoolImage/126T.jpg","https://www.khda.gov.ae/SchoolImage/126S.jpg","https://www.khda.gov.ae/SchoolImage/126L.jpg","https://www.khda.gov.ae/SchoolImage/126MS.jpg","598-1083","598-1083","54084","97148853330","","","www.nisdubai.ae","principal@nisdubai.ae","http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111313","",""
